codes,requirement,syllabus,title,year
OF:S-6 T:002 P:000 L:000 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,AA460,Estudo de Problemas Especiais em Computação. A ementa desta disciplina será definida por ocasião de seu oferecimento.,MC934 - Tópicos em Engenharia de Computação,2018
OF:S-6 T:002 P:000 L:000 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,AA460,Estudo teórico e aplicações especiais na área de sistemas de informação. A ementa desta disciplina será definida por ocasião de seu oferecimento.,MC935 - Tópicos em Engenharia de Computação,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC426/ MC536,"Conceitos básicos. Algoritmos de primitivas gráficas. Representação e estruturação de informação gráfica. Descrição, construção e utilização de um núcleo de um sistema gráfico. Aplicações.",MC936 - Tópicos em Sistemas de Informação,2018
OF:S-5 T:002 P:002 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MA327  MC202,"Estudos dos principais algoritmos criptográficos, simétricos e assimétricos e sua complexidade computacional. Aspectos de implementação em software.",MC937 - Computação Gráfica,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC558,Segmentação de imagens. Transformações morfológicas. Representação. Descrição. Extração de características. Classificação supervisionada. Classificação não supervisionada.,MC938 - Algoritmos Criptográficos,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC920,"Políticas de segurança. Vulnerabilidades dos protocolos TCP/IP. Firewalls, roteadores com filtros, servidores proxy, topologias de firewalls. Configuração de DNS para redes seguras, extensões de segurança. Tópicos e serviços: smap, criptografia, Kerberos, IPv6, PGP/PEM; canais seguros: IPsec, SSL, SSH, SHTTP.",MC940 - Processamento e Análise de Imagens,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC832,Técnicas de aprendizado de máquina e reconhecimento de padrões. Redução de dimensionalidade. Descritores. Classificadores.,MC942 - Segurança de Redes de Computadores,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MA311  MA327  MC202,"Projeto e análise de algoritmos para problemas em geometria computacional, incluindo problemas de envoltória convexa, caminho mínimo, busca geométrica, proximidade e interseções geométricas. Questões de análise de complexidade, quotas inferiores e superiores, e modelos computacionais. Aplicações à computação gráfica, planejamento de movimento, casamento de padrões, etc.",MC946 - Aprendizado de Máquina e Reconhecimento de Padrões,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,"Conceitos básicos de processamento de imagens, correspondências e arestas, álgebra linear e coordenadas homogêneas, representações de rotações. Projeções ortográficas, perspectiva e afim. Câmeras e suas calibrações. Matriz essencial, matriz fundamental, homografia, RANSAC. Fatorização rígida e não rígida. Rastreamento, filtro de Kalman e de partículas. Localização e reconhecimento de objetos.",MC948 - Geometria Computacional,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MA327  MC102  ME323/ MA327  MC102  ME210,"Introdução à recuperação de informação (modelos de recuperação, avaliação). Bancos de dados de imagem (linguagens de consulta, processamento de consultas, estruturas de indexação). Recuperação de imagem por conteúdo (descrição de imagem, busca por similaridade, relevance feedback). Aplicações.",MC949 - Visão Computacional,2018
