codes,requirement,syllabus,title,year
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC521/ MC621,Uma visão gerencial da Engenharia de Software. Métricas de Software. Planejamento de sistemas. Ambientes automatizados de desenvolvimento de Software e ferramentas CASE.,MC721 - Desafios de Programação III,2018
OF:S-1 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC426,Uma introdução à arquitetura e organização de computadores. Tecnologias e perspectiva histórica. Medidas de desempenho. Conjunto de instruções. Memória. Unidades de aritmética e lógica. Projeto básico de um processador. Pipeline. Hierarquia da memória: cache e memória virtual. Dispositivos de Entrada/Saída.,MC726 - Análise e Projeto de Sistemas de Informação II,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC404  MC602/ EA772  MC404/ ES572  MC404,"Metodologia de projeto de sistemas. Técnicas de projeto usando linguagens de descrição de sistemas e hardware. Padrões de interconexão de hardware. Barramentos, processadores. Linguagens de descrição de arquiteturas. Criação de modelos executáveis de sistemas.",MC732 - Projeto de Sistemas Computacionais,2018
OF:S-5 T:000 P:000 L:002 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,MC732,Conceitos básicos de probabilidade. Técnicas em teoria de jogos. Desvios e momentos. Desigualdades de cauda. Método probabilístico. Cadeias de markov e passeios aleatórios. Algoritmos de aproximação probabilísticos. Técnicas algébricas. Aplicações.,MC733 - Laboratório de Projetos de Sistemas Computacionais,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,Uso combinado de ferramentas de desevolvimento validação e verificação (VeV) para a construção de um sistema de informação.,MC738 - Algoritmos Probabilísticos,2018
OF:S-5 T:000 P:002 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC646,Medidas de performance. Algoritmos Combinatórios. Métodos usando Programação Linear. Método Primal-Dual. Métodos Probabilísticos. Programação Semidefinida. Complexidade de aproximação.,MC747 - Projeto de Engenharia de Software,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,"Introdução a Interfaces Humano-Computador (IHC). Aspectos humanos. Aspectos tecnológicos. Processos, métodos e técnicas de pesquisa, design e avaliação. Ferramentas de suporte. Concepção, modelagem e prototipação de soluções em interfaces de usuário.",MC748 - Algoritmos de Aproximação,2018
OF:S-5 T:002 P:002 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC322,Jogos e conceitos básicos de soluções. Teoria dos Jogos e Complexidade Computacional. Ineﬁciência de equilíbrios. Mecanismos e Leilões. Compartilhamento de Custos.,MC750 - Construção de Interfaces Homem-Computador,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC558,"Programação Linear: formulando problemas, algoritmo Primal-Simplex, Dualidade em PL, algoritmo-Dual Simplex e a complexidade de resolução de um programa linear. Programação Linear Inteira: formulações e complexidade. Otimalidade: relaxações e limitantes. Relaxação Lagrangeana: método do subgradiente e heurísticas lagrangeanas. Problemas de PLI bem resolvidos e Unimodularidade Total. Algoritmos de Branch-and-Bound para PLI. O método de geração de colunas. Algoritmos de Planos-de-Corte para PLI. Desigualdades Válidas Fortes e técnicas de lifting, Combinatória Poliédrica, O problema da separação.",MC758 - Teoria dos Jogos Algorítmica,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,Estruturas de dados. Busca por padrões. Ordenação. Combinatória. Teoria dos Números. Backtracking. Algoritmos em grafos. Programação dinâmica. Reticulados. Geometria computacional.,MC798 - Programação Linear Inteira,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC521/ MC621,"Redes de Computadores e a Internet. Terminologia e aplicações, topologias, modelos de arquitetura e protocolos. Camadas de Aplicação, Transporte, Rede, Enlace e Física. Redes sem Fio.",MC821 - Desafios de Programação IV,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC504,"Conceitos administrativos, funcionamento do sistema Unix, memória virtual e sistemas de disco, breve revisão de administração de máquina Unix isolada, redes em TCP/IP, NIS, DNS, NFS, automounter, sendmail, configuração de sistemas.",MC832 - Redes de Computadores,2018
OF:S-5 T:000 P:000 L:002 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,MC832,"Famílias de algoritmos: universalidade, teorema SMN, teorema da recursão. Modelos computacionais. Funções recursivas: funções primitivas recursivas, funções recursivas. Computabilidade e decidibilidade: relativização, redução. Complexidade abstrata: ""sdepped-up"", ""gap"", teorema da compressão.",MC833 - Programação de Redes de Computadores,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC832,Implementação de um projeto prático na área de Computação.,MC842 - Administração de Redes de Computadores,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC358,"Arquitetura de computadores não convencionais, processadores paralelos, etc. Estudo de computadores não convencionais relevantes. Programação de computadores paralelos.","MC848 - Linguagens Formais, Computabilidade e Complexidade",2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,AA460,Implementação de um projeto prático na área de Sistemas de Programação.,MC851 - Projeto em Computação I,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC613/ MC732,Implementação de um projeto prático na área de Sistemas de Computação.,MC852 - Arquiteturas Paralelas,2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,MC504,Implementação de um projeto prático na área de Sistemas de Informação.,MC853 - Projeto em Sistemas de Programação,2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,MC714,Projetos e análise de algoritmos paralelos. Complexidade computacional paralela.,MC855 - Projeto em Sistemas de Computação,2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,MC426,Implementação de um projeto prático na área de Teoria da Computação.,MC857 - Projeto em Sistemas de Informação,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC558,Implementação de um projeto prático na área de Computação.,MC858 - Algoritmos Paralelos,2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,MC558,Revisão de conceitos básicos; alfabetos e linguagens; linguagens regulares; linguagens livres de contexto; linguagens recursivas e linguagens recursivamente,MC859 - Projeto em Teoria da Computação,2018
OF:S-5 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,AA460,enumeráveis; computabilidade e decidibilidade.,MC861 - Projeto em Computação II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC358,Implementação de um projeto prático na área de computação.,MC868 - Linguagens Formais e Autômatos,2018
OF:S-6 T:000 P:002 L:002 O:008 D:000 HS:012 SL:004 C:012 AV:N EX:N FM:75%,AA460,"Estudo de aspectos técnicos da gerência de projetos de sistemas de software tais como, métricas, modelos de previsão e análise de risco, e de aspectos humanos tais como organização e motivação de equipes. Estudo de aspectos da qualidade do produto e do processo de software, através da discussão de caminhos que levam à definição e mensuração de tais aspectos e da apresentação de modelos de qualidade.",MC871 - Projeto em Computação III,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC426  MC536,Fundamentos da teoria de grafos. Modelagem de problemas usando grafos. Algoritmos para problemas em grafos.,MC876 - Gerência de Projetos e Qualidade de Software,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC358,Implementação de um projeto prático na área de Computação.,MC878 - Teoria e Aplicações de Grafos,2018
